Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LVA,Latvia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,1641.2,1774.3,1851.8,1718,2162.9,2170.2,2108.3,1964.4,2273,2160.6,2543.2,2193.3,2447.4,2802.9,2263.9,2941.5,3104.3,3074.8,..,..
MAC,"Macao SAR, China",AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAF,St. Martin (French part),AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAR,Morocco,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1120,1575.8,587.5,560.4,1584.9,446.7,1687.9,833.3,1122.2,743.1,366.6,894.3,1068.8,1433.2,1512.3,784.3,1652.4,516.2,1002.4,1910.7,..,..
MCO,Monaco,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MDA,Moldova,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,2928.2,3832.3,2181.5,2989.4,2288.4,3432.5,2748.8,2443.8,2032.7,2487.1,2502.7,1861.6,2832,2793.4,2537.7,968.9,3202.6,2340.1,..,..
MDG,Madagascar,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1945.2,1927,1933.4,1923.8,1925.7,1967.5,2007,2000.1,1874.8,1962.4,1889.8,2020.1,1966.8,2202,2354.1,2516.2,2451.2,2289.8,2697,2581.7,..,..
MDV,Maldives,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1000,1000,1000,1000,1100,1571.4,1800,1736.8,2723.4,2591.8,2511.1,2727.2,1786.8,2934.7,2129,1323.5,2285.7,2305.5,2333.3,2041.6,..,..
MEX,Mexico,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2424.4,2426.9,2708.2,2639.5,2518.4,2519.7,2553,2679,2639.5,2708.3,2761.3,2855.6,2913.5,2964.1,3078.8,3131.1,3213.6,3353.1,3452.5,3433.9,..,..
MHL,Marshall Islands,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MIC,Middle income,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2556.264049,2565.664649,2441.970015,2502.585328,2459.445159,2505.26354,2617.275889,2699.57304,2723.297126,2783.317076,2711.257257,2831.683785,2819.955442,2846.687952,2988.872009,2969.982585,3061.099415,3094.095282,3292.274985,3255.713826,..,..
MKD,"Macedonia, FYR",AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,2651.5,2011.4,2695.7,3006.8,2454.7,2748,3079.4,2940.6,2565,2287.8,2901.2,2422.3,3596.7,3205,3243.5,2625.2,3536.8,3373,..,..
MLI,Mali,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,726.3,1055.3,738,762.7,817.7,810.1,1100.5,1064.3,1204.2,1174.1,1006.4,986.2,792.3,979.3,864.1,1089.5,1124.8,1101.1,1397.6,1588.2,..,..
MLT,Malta,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3743,3136.3,3043.1,2703.7,2607.1,2508.4,3500,3904.8,4019.5,3647.6,4007.5,4000,4694.8,4013.6,4726.7,4166.4,4033.3,4306.4,4489.4,4430.9,..,..
